Pmax,IS,Pmax_sin,Pmax_cos,alpakas_id,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,cluster_hierarchical
2.062408944238328,41.34987616368975,0.8660254037844387,-0.4999999999999998,AT-0001,0.48290226095584454,0.5723398050030178,1.0998875315168881,1.899864307482829,2.062408944238328,1.2766655187549354,1.0522525650440477,0.8889273279801383,1.1204807432824835,0.7271790596616698,0.4008072946113654,0.4774187224647063,0
1.9724307833717496,39.438877663575454,1.0,6.123233995736766e-17,AT-0004,0.580162004165123,0.7463542033918619,1.2178601900051098,1.9724307833717496,1.9310304482879612,1.2286058903308426,0.7803018597414632,0.9885918037100501,0.9318426099160795,0.7621224353828681,0.35726131070344225,0.4706257653557199,0
2.7221124600684163,56.91346981006261,0.8660254037844387,-0.4999999999999998,AT-0005,0.297161500532341,0.2671088828485041,0.46972481292406637,1.3236564084230067,2.7221124600684163,2.0566637904562017,1.2865809728856032,1.0063162935945502,0.9548891171157549,0.6892587189810566,0.5267301902341961,0.3608403255843459,1
2.196604632693268,41.09205582398508,0.8660254037844387,-0.4999999999999998,AT-0006,0.4570350984751883,0.4920522160323838,0.995400189777721,1.8261758780890784,2.196604632693268,1.3815791085314897,1.0498588619509461,0.8920977807507701,0.9867329851479495,0.6896029457832159,0.5509483839693318,0.4593021824500125,0
1.6711810494532058,25.591293922762453,1.0,6.123233995736766e-17,AT-0007,0.7494706444491597,0.8730992016086875,1.361197665421978,1.6711810494532058,1.4385863220236426,1.0776640318375492,0.9555473439327197,0.8531267943965655,0.8626596624302626,0.6778177419149809,0.68924899642569,0.8167034128468156,0
2.052774007742253,36.79343214001054,0.8660254037844387,-0.4999999999999998,AT-0008,0.5785090508674414,0.5497989531195377,0.9860346903044762,1.6527400934041558,2.052774007742253,1.3488275587348804,1.0369418721826296,0.9081357833914666,1.084933617528646,0.7633175266815891,0.4775455156725009,0.4976637727542875,0
2.278499563983488,62.955324956460665,0.8660254037844387,-0.4999999999999998,AT-0009,0.19049862678331345,0.22034555695974709,0.4714069288277482,1.1855435685848907,2.278499563983488,2.1315910311692696,1.6217706553177413,1.3667366634971154,1.1722301694966606,0.7194556470329463,0.38732724375260896,0.21269865391752057,1
1.9333936724388538,42.916800167275056,0.8660254037844387,-0.4999999999999998,AT-0010,0.4213103069592341,0.37648674503793467,0.5563889894370349,1.1278480365398187,1.9333936724388538,1.9141440097030238,1.3151020022173137,1.1315393282239392,1.1362998415664625,0.8609528338045279,0.7110029539826579,0.4821690413950149,1
2.408008114316423,50.13694802252334,0.8660254037844387,-0.4999999999999998,AT-0011,0.40324651893027347,0.3794052480341751,0.5099912833320291,1.327543834176507,2.408008114316423,2.0249743444248107,1.206205840368808,1.0113324791382665,1.0166447370506853,0.7462163688901519,0.5324257512837565,0.406990416302314,1
1.846371752025695,47.72257990751655,0.8660254037844387,-0.4999999999999998,AT-0012,0.26665426990252405,0.35278943932782714,0.5434747033520501,1.3572617486379779,1.846371752025695,1.747689682380165,1.4034914706800603,1.2893910665220318,1.1718383678306297,1.0312345861776906,0.5993415995224848,0.35830907324737793,1
1.8940913984751417,46.95512707429809,0.49999999999999994,-0.8660254037844387,AT-0013,0.4503306998817239,0.35110630056111186,0.3422935347144607,0.637958708648973,1.7240501607128451,1.8940913984751417,1.5163375604044764,1.3984748127856275,1.2659368068117423,1.0101778498494,0.7992904949066196,0.5934736014105735,1
2.2420550463090057,43.10715012325853,0.8660254037844387,-0.4999999999999998,AT-0014,0.4297832403813233,0.4103044162951607,0.4785632714597697,1.1233894675977334,2.2420550463090057,1.682464284397421,1.1602867348309012,1.1656317201850337,1.133272898341142,0.8763281010470704,0.6670676192282319,0.4721954884586589,1
1.1725742461366846,13.660624481105742,-0.4999999999999997,-0.8660254037844388,AT-0015,0.7745904811484887,0.7305889734787293,0.7937935933032416,0.9983308504197299,1.105587636561555,1.122164581827056,1.1360284977020814,1.1725742461366846,1.1669901016019677,1.1000999774930134,0.9934824166793457,0.8733837885601338,2
1.2879850719026353,19.713502651424605,0.8660254037844387,-0.4999999999999998,AT-0018,0.7031168971362415,0.73481418964895,1.0366492872651694,1.2085439102011695,1.2879850719026353,1.280792393142808,1.1911427353634714,1.1400755721157567,0.9889215875977803,0.8647153664972729,0.7668572922881527,0.7211433186516606,2
1.162704022694896,6.3071615028132815,-0.8660254037844386,0.5000000000000001,AT-0019,0.9652760630790567,0.8688236303523431,0.8257241844488485,1.0017132609768777,1.0716953803760354,1.0480723781369563,1.0234358737455733,0.9917267347317602,1.008939350444475,0.9680039576693975,1.162704022694896,1.0598536842441861,2
1.1205706172169372,7.221567422176893,0.8660254037844387,-0.4999999999999998,AT-0020,0.8853681952253005,0.8732775160189357,0.9545504357784959,1.09808710330007,1.1205706172169372,1.086379127326298,1.0604162113620104,1.038037326582026,1.022927237673164,0.9939439657108438,0.9533194586424462,0.8993699614232564,2
1.622501894935516,28.74489936207833,0.8660254037844387,-0.4999999999999998,AT-0021,0.5706063533961412,0.6396989291768824,1.0267835183867224,1.4422942257555824,1.622501894935516,1.4045841503940402,1.0967587684759001,1.059471404495878,1.089613923144196,0.849625467642506,0.658694919429428,0.5739942924934784,0
1.842643907397154,29.836689474771163,1.0,6.123233995736766e-17,AT-0022,0.5363454157799546,0.6338302392954164,1.2834215952745782,1.842643907397154,1.2645031593790952,1.1761858421898272,1.0302500327118609,1.0540061199307342,1.1064969408996628,0.8693595853879414,0.62977255311176,0.5077970672353006,0
1.150062162395265,9.946161061121868,-0.8660254037844386,0.5000000000000001,AT-0023,0.830342617738798,0.7626000856253398,0.8517802121182809,0.9920171254256009,1.1022231941589686,1.122727167490893,1.0791094717473577,1.0359066140090258,1.0330541662458026,1.0573639979423957,1.150062162395265,0.9501674057470645,2
1.9329874410060355,50.06105416843011,0.49999999999999994,-0.8660254037844387,AT-0024,0.401294205977787,0.32817305655550083,0.32652726584395897,0.716402196807211,1.6939203728576362,1.9329874410060355,1.6320537016038437,1.469221648912645,1.2772862787977854,1.0028887963646835,0.7145150975887247,0.5141199165578327,1
2.005958075464524,39.85138992304638,0.49999999999999994,-0.8660254037844387,AT-0025,0.5655335256219978,0.45090359484069775,0.3929695533434659,0.5760270060156685,1.297130520266702,2.005958075464524,1.5132424951532508,1.3229407081866122,1.2063325029060703,1.0672278243449052,0.9063611250145279,0.7388705307201413,1
1.9368156337249365,43.52199171753634,1.0,6.123233995736766e-17,AT-0026,0.42533830988117355,0.4671159085381435,0.8249827310979808,1.9368156337249365,1.7936504871753989,1.515966237500138,1.1759886023681696,1.0782337294816309,1.1356697219283467,0.7990058271713351,0.5959528509770509,0.30128977840857557,0
1.8008460726820057,26.525754849288713,1.0,6.123233995736766e-17,AT-0027,0.8029314564146522,0.8394856713266733,1.4406584166117726,1.8008460726820057,1.3008101683504678,0.9839113618967112,0.9206013476380397,0.6579446545728567,1.029171793961613,0.7459239942602254,0.6550135000564248,0.7825838835256305,0
1.8448184041008455,25.91008141713645,1.0,6.123233995736766e-17,AT-0029,0.8214055333874434,0.8886380284048835,1.4246740982468342,1.8448184041008455,1.3427805558706885,1.0053247992886247,0.8647930231502177,0.8380060011077002,0.9661380819392894,0.782686021660273,0.6387829308011767,0.7079384669996351,0
1.5417113559064342,23.75363883523331,1.0,6.123233995736766e-17,AT-0030,0.8485648288804938,0.8912634232762123,1.2207078440264616,1.5417113559064342,1.1444989376476975,1.3069414939057782,0.7914672383426127,1.0705393606277833,1.0719080231661944,0.6392338294047192,0.600934816444628,0.7344062187036857,0
1.4624595684946067,18.218004769538656,0.8660254037844387,-0.4999999999999998,AT-0033,0.7821086780335714,0.7135845787043869,0.7560972642640512,1.0806767930229857,1.4624595684946067,1.2199990745662481,0.8987946058692468,0.9344962707458678,0.8597073135335678,1.000366553009592,1.3249502983161479,0.9575030039142499,2
1.7607021308971318,37.7568394366541,0.49999999999999994,-0.8660254037844387,AT-0035,0.5292559080196995,0.4877236322449756,0.6215518945997004,1.0462895631178863,1.731309367782621,1.7607021308971318,1.363014307034847,1.3015460920716795,1.1216272772379847,0.8814413658408864,0.6976615302899902,0.5760336747484065,1
2.1998151580363476,57.471259832398744,0.49999999999999994,-0.8660254037844387,AT-0037,0.4008796877431504,0.37591870016124973,0.3731845630361712,0.42923527023600677,1.354076270933546,2.1998151580363476,1.9834721044067545,1.6235221869820202,1.3118653505615168,0.9677099148358127,0.5819660253381276,0.4473057296818184,1
2.4503819972582366,55.188402565686744,0.8660254037844387,-0.4999999999999998,AT-0038,0.2942647764757321,0.3437849995334825,0.7881079974189117,1.7498239194363492,2.4503819972582366,1.8901022276519102,1.1999647761862577,0.963358388436867,0.850942994801225,0.6967312387738845,0.39325708854583097,0.3372171286644092,1
1.9362916016219065,35.27224365681713,0.8660254037844387,-0.4999999999999998,AT-0039,0.556140204862869,0.5404609985110533,0.5751782726532003,1.007760012792548,1.9362916016219065,1.9139363234807107,1.1627897626829196,1.0701322137128877,0.9515328333600227,0.8903431072260779,0.7273346474643073,0.6172506113953861,1
